State,StarDiff
QLD,-0.2
QLD,-0.2
QLD,-0.3
QLD,-0.2
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.2
QLD,-0.2
QLD,-0.3
QLD,-0.3
QLD,-0.4
QLD,-0.3
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.1
QLD,-0.2
QLD,-0.1
QLD,-0.3
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD, 0.1
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.1
QLD, 0.0
QLD,-0.3
QLD,-0.3
QLD, 0.0
QLD,-0.3
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD,-0.2
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.3
QLD,-0.4
QLD,-0.3
QLD,-0.2
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.0
QLD,-0.2
QLD, 0.0
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD,-0.3
QLD,-0.3
QLD,-0.3
QLD,-0.3
QLD,-0.2
QLD,-0.1
QLD, 0.0
QLD, 0.0
QLD, 0.0
QLD,-0.2
QLD,-0.2
QLD, 0.3
QLD, 0.3
QLD, 0.0
QLD,-0.3
QLD,-0.1
QLD,-0.1
QLD,-0.1
QLD, 0.1
QLD,-0.2
QLD,-0.4
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD,-0.1
QLD,-0.2
QLD, 0.0
QLD,-0.2
QLD,-0.2
QLD,-0.1
QLD,-0.1
QLD, 0.2
