Nvalid,StateName,NPostCode,NYear,NClimateZone,StarRating,Exposure,X,CertificateHeating,CertificateSCool,CertificateLCool,TotalFlArea,TotFloorArea,SlabOnGroundArea,FloorsAboveGround,SubfloorFloorArea,FloorsAboveNeighbours_100,CeilingsBelowNeighbours,TotalSharedSurfaceArea,FloorHeightmin,FloorHeightmax,NumberofLiving,NumberofBedrooms,MStorey,NStorey
382,     QLD,4059,18,10,5.3,        Suburban,NA,17.02,27.29,7.87,233.11,186.31,202.61,0,0,0,0,0,0.1,0.5,2,4,0,1
383,     QLD,4223,18,10,7.4,            Open,NA,25,15.6,6.91,46.8,46.8,22,0,0,0,0,0,1,1,1,1,0,1
384,     QLD,4223,18,10,7.7,            Open,NA,35.56,8.02,1.98,40,40,0,4000,40,0,0,0,2,2,1,1,0,1
385,     QLD,4053,16,10,4.3,        Suburban,NA,21.46,21.81,10.05,518.29,444.91,307.6,0,0,0,0,0,0.1,4.07,2,6,1,2
386,     QLD,4223,17,10,5.4,            Open,NA,31.67,15.36,7.27,141.9,145.9,44.6,0,0,0,0,0,0.22,2.87,1,1,1,2
387,     QLD,4007,17,10,5.9,        Suburban,NA,13.3,24.85,9.97,177,146,96,0,0,0,0,50,0.1,2.8,1,3,1,2
388,     QLD,4223,16,10,5.9,            Open,NA,34.24,29.84,5.37,42,42,0,0,0,0,0,0,1.6,1.6,1,1,0,1
389,     QLD,4223,17,10,5.8,        Suburban,NA,29.54,29.85,10.44,48.16,48.16,0,5280,52.8,0,0,0,0.5,0.5,1,1,0,1
390,     QLD,4225,17,10,9.4,            Open,NA,6.3,6.96,3.5,118.59,118.59,118.59,0,0,0,0,0,0.1,0.1,1,3,0,1
391,     QLD,4007,17,10,6.4,        Suburban,NA,15,20.16,7.61,176.5,145.5,99,0,0,0,0,51,0.1,2.8,1,3,1,2
392,     QLD,4031,17,10,5.7,        Suburban,NA,12.61,28.39,10.63,149.75,134.75,81.6,0,0,0,0,64,0.2,2.9,1,3,1,2
393,     QLD,4007,17,10,6,        Suburban,NA,18.27,22.43,8.79,144.2,123.4,72.8,0,0,0,0,47,0.1,2.8,1,3,1,2
394,     QLD,4007,17,10,6.2,        Suburban,NA,15.41,24.71,7.88,139.3,119.6,75.6,0,0,0,0,43,0.1,2.8,1,3,1,2
395,     QLD,4170,17,10,6.2,        Suburban,NA,12.31,27.21,7.57,155.6,125.6,33,0,48.8,0,0,57,1.6,4.3,1,3,1,2
396,     QLD,4223,18,10,4.8,            Open,NA,33.01,11.74,5.35,337.8,340.8,0,30000,300,0,0,0,0.5,3.3,1,5,1,2
397,     QLD,4012,16,10,6.4,        Suburban,NA,3.16,27.89,12.03,104.24,104.24,104.24,0,0,0,104.24,105,0.08,0.08,2,1,0,1
398,     QLD,4012,16,10,6.2,        Suburban,NA,19.37,14.29,6.91,241.09,209.79,143,0,0,0,0,0,0.01,2.8,2,4,1,2
399,     QLD,4228,16,10,7.1,            Open,NA,38.61,11.01,3.19,87,45.5,41.5,0,0,0,0,0,0.1,2.5,1,1,0,2
400,     QLD,4221,18,10,5.3,            Open,NA,33.38,14.95,5.2,170.42,174.4,85.4,0,0,0,0,0,0.25,2.9,2,4,1,2
401,     QLD,4720,17,19,7.5,        Suburban,NA,30.58,23.05,4.19,210.8,169.5,210.8,0,0,0,0,0,0.1,0.1,1,4,0,1
402,     QLD,4630,17,19,5.2,            Open,NA,57.31,65.92,6.85,101,101,0,10200,102,0,0,0,1.4,1.4,1,2,0,1
403,     QLD,4630,17,19,5.3,            Open,NA,53.34,66.97,6.88,101,101,0,10200,102,0,0,0,1.4,1.4,1,2,0,1
404,     QLD,4720,16,19,5.4,        Suburban,NA,29.67,56.05,7.1,278.2,278.2,134.9,0,0,0,0,0,0.1,3.03,1,5,1,2
405,     QLD,4871,17,29,6.4,            Open,NA,0,244.28,88.63,142.5,142.5,142.5,0,0,0,0,0,0.1,0.1,1,4,0,1
406,     QLD,4874,17,29,5.3,            Open,NA,0.23,299.13,86.34,158.5,160.3,3.2,0,0,0,0,0,0.1,3.1,1,4,1,2
407,     QLD,4875,17,29,5.6,            Open,NA,0.09,299.62,84.5,131.86,131.86,0,0,0,0,0,0,2.86,2.86,1,4,1,1
408,     QLD,4875,17,29,5.4,            Open,NA,0.11,338.02,88.68,100.2,100.2,0,0,0,0,0,0,2.86,2.86,1,2,1,1
409,     QLD,4871,17,29,7.7,            Open,NA,0,179.92,81.86,110,110,110,0,0,0,0,0,0.1,0.1,1,3,0,1
410,     QLD,4871,17,29,7.4,            Open,NA,0,194.31,84.11,110,110,110,0,0,0,0,0,0.1,0.1,1,3,0,1
411,     QLD,4875,17,29,7.2,            Open,NA,0,220.43,89.76,86.5,86.5,86.5,0,0,0,0,0,0.1,0.1,1,2,0,1
412,     QLD,4875,17,29,5.9,            Open,NA,0.08,316.87,88.18,86.5,86.5,0,0,0,0,0,0,0.6,0.6,1,2,0,1
413,     QLD,4875,17,29,5.9,            Open,NA,0.3,302.48,85.38,110,110,0,0,0,0,0,0,0.6,0.6,1,3,0,1
414,     QLD,4875,17,29,5.3,            Open,NA,0.12,304.25,81.15,158,158,0,0,0,0,0,0,2.86,2.86,1,4,1,1
415,     QLD,4875,17,29,5.4,            Open,NA,0.13,314.1,89.65,129.5,129.5,0,0,0,0,0,0,2.86,2.86,1,4,1,1
416,     QLD,4875,17,29,5.4,            Open,NA,0.18,301.97,87.8,142.5,142.5,0,0,0,0,0,0,0.6,0.6,1,4,0,1
417,     QLD,4875,17,29,5.3,            Open,NA,0.15,308.69,89.06,142.5,142.5,0,0,0,0,0,0,0.6,0.6,1,4,0,1
418,     QLD,4875,17,29,5.5,            Open,NA,0.07,282.37,82.5,179.5,179.5,0,0,0,0,0,0,0.6,0.6,1,5,0,1
419,     QLD,4875,18,29,5.5,            Open,NA,0.21,291.32,86.96,155.5,155.5,0,0,0,0,0,0,0.6,0.6,1,5,0,1
420,     QLD,4875,18,29,5.8,            Open,NA,0.1,266.91,89.14,164,167,0,0,0,0,0,28,0.6,3.35,1,4,1,2
421,     QLD,4875,18,29,5.7,            Open,NA,0.06,267.62,89.75,164,167,0,0,0,0,0,28,0.6,3.35,1,4,1,2
422,     QLD,4875,18,29,5.7,            Open,NA,0.06,267.62,89.75,164,167,0,0,0,0,0,28,0.6,3.35,1,4,1,2
423,     QLD,4875,18,29,5.8,            Open,NA,0.1,266.91,89.14,164,167,0,0,0,0,0,28,0.6,3.35,1,4,1,2
